"	Category","	Event","	Event Display Name","	Event Description","	Event Volume","	Event Query Volume","	Event Schema Status","	Event First Seen","	Event Last Seen","	Event Number of Properties","	Event Property","	Property Description","	Property Type","	Property Schema Status","	Property Is Required","	Property Is Array","	Property Enum Options","	Property Regex","	Property First Seen","	Property Last Seen"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:schedule_proposal_call","	","	","	0","	0","	added","	2020-06-26","	2020-06-26","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Changed-Status:Won","	","	","	0","	0","	added","	2020-06-12","	2020-06-18","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_company_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_opportunity_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	affinity_user_id","	","	any","	added","	false","	false","	","	","	2020-04-29","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Financing Intake-Call-Pending","	","	","	119","	0","	added","	2020-07-08","	2021-04-07","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	proposalRequestUuid","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Financing Launched-Intake-Call-Scheduling","	","	","	13","	0","	added","	2020-06-25","	2021-04-06","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	relative_redirect_url","	","	any","	added","	false","	false","	","	","	2020-06-25","	2021-02-10"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	Financing Launched-Proposal-Call-Scheduling","	","	","	0","	0","	added","	2020-06-26","	2021-01-29","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	Financing Proposal-Call-Pending","	","	","	53","	0","	added","	2020-06-24","	2021-04-07","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	proposalRequestUuid","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Financing Scheduled-Intake-Call","	","	","	56","	29","	added","	2020-06-17","	2021-04-07","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	amount","	","	any","	added","	false","	false","	","	","	2020-12-28","	2021-03-26"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	relative_redirect_url","	","	any","	added","	false","	false","	","	","	2020-06-25","	2021-02-10"
"	","	","	","	","	","	","	","	","	","	","	requested_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	Financing Scheduled-Proposal-Call","	","	","	20","	45","	added","	2020-06-24","	2021-04-07","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	amount","	","	any","	added","	false","	false","	","	","	2020-12-28","	2021-03-26"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	relative_redirect_url","	","	any","	added","	false","	false","	","	","	2020-06-25","	2021-02-10"
"	","	","	","	","	","	","	","	","	","	","	requested_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	Financing Selected-Proposal","	","	","	62","	97","	added","	2020-06-24","	2021-04-06","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	proposalRequestUuid","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Financing Submitted-Request","	","	","	413","	5060","	added","	2020-06-24","	2021-04-07","	10","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	advisor","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	amount","	","	any","	added","	false","	false","	","	","	2020-12-28","	2021-03-26"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	reason","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	requested_amount","	","	any","	added","	false","	false","	","	","	2021-03-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	step","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	Global tracking event","	","	","	132178","	18","	added","	2021-02-04","	2021-04-07","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pathname","	","	any","	added","	false","	false","	","	","	2019-09-25","	2021-04-07"
"	","	Hello!","	","	","	0","	0","	added","	2021-02-25","	2021-02-25","	0","	","	","	","	","	","	","	","	","	","	"
"	","	intake","	","	","	0","	0","	added","	2021-02-10","	2021-02-19","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	amount","	","	any","	added","	false","	false","	","	","	2020-12-28","	2021-03-26"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	Launched Budget-based Exercise Plan - Budget Breakdown View","	","	","	0","	3","	added","	2020-05-18","	2020-06-18","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Budget-based Exercise Plan - Budget Select View","	","	","	0","	0","	added","	2020-05-18","	2020-06-21","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Financing","	","	","	0","	0","	added","	2019-09-26","	2020-06-23","	1","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Launched Get Started","	","	","	0","	133","	added","	2019-09-26","	2021-01-24","	0","	","	","	","	","	","	","	","	","	","	"
"	","	Launched Intake Call Scheduling","	","	","	0","	0","	added","	2020-05-13","	2020-06-24","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	financing_object","	","	any","	added","	false","	false","	","	","	2020-04-03","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_proposal_request_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	secfi_user_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	source","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
"	","	Launched Profit Simulator","	","	","	0","	3","	added","	2020-04-01","	2020-06-25","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Tool","	","	","	0","	6","	added","	2020-04-15","	2020-06-24","	3","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	tool","	","	any","	added","	false","	false","	","	","	2020-04-15","	2021-04-07"
"	","	Loaded a Page","	","	","	97127","	1756","	added","	2020-04-02","	2021-04-07","	11","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	issuer","	","	any","	added","	false","	false","	","	","	2020-04-01","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pageName","	","	any","	added","	false","	false","	","	","	2020-07-08","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	property1","	","	any","	added","	false","	false","	","	","	2020-04-02","	2021-01-14"
"	","	","	","	","	","	","	","	","	","	","	property2","	","	any","	added","	false","	false","	","	","	2020-04-02","	2021-01-14"
"	","	","	","	","	","	","	","	","	","	","	property3","	","	any","	added","	false","	false","	","	","	2020-04-02","	2021-01-14"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Loaded a Screen","	","	","	0","	0","	added","	2021-01-13","	2021-01-13","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	property1","	","	any","	added","	false","	false","	","	","	2020-04-02","	2021-01-14"
